transaction_id,amount,timestamp,account_id,transaction_type,location,device,risk_score,is_fraudulent,status
TX-20260511-000000,6279.66,2026-02-19 07:50:32,ACC-1025,Purchase,Dubai,Desktop,31.5,False,approved
TX-20260511-000001,2422.62,2026-04-13 06:50:32,ACC-1754,Payment,Sydney,Desktop,21.8,False,approved
TX-20260511-000002,4530.38,2026-02-24 21:50:32,ACC-1032,Payment,London,Desktop,36.4,False,approved
TX-20260511-000003,13572.12,2026-04-11 18:50:32,ACC-1616,Payment,Sydney,Desktop,20.4,False,approved
TX-20260511-000004,3082.0,2026-02-16 12:50:32,ACC-1558,Deposit,Singapore,Mobile,35.8,False,approved
TX-20260511-000005,1569.18,2026-02-25 02:50:32,ACC-1828,Payment,Tokyo,Tablet,9.9,False,approved
TX-20260511-000006,3691.16,2026-03-18 00:50:32,ACC-1284,Transfer,Singapore,Mobile,10.6,False,approved
TX-20260511-000007,2829.97,2026-04-28 08:50:32,ACC-1389,Payment,Mumbai,Mobile,1.3,False,approved
TX-20260511-000008,3438.15,2026-02-23 02:50:32,ACC-1826,Payment,Paris,Tablet,22.8,False,approved
TX-20260511-000009,8078.66,2026-04-25 22:50:32,ACC-1080,Refund,Dubai,Tablet,13.5,False,approved
TX-20260511-000010,16241.78,2026-02-20 23:50:32,ACC-1591,Transfer,London,Desktop,45.4,False,reviewing
TX-20260511-000011,5217.0,2026-02-16 03:50:32,ACC-1791,Withdrawal,London,Desktop,9.9,False,approved
TX-20260511-000012,406.56,2026-04-28 22:50:32,ACC-1284,Deposit,Mumbai,Desktop,34.3,False,approved
TX-20260511-000013,4004.97,2026-03-24 23:50:32,ACC-1214,Purchase,Dubai,Tablet,27.5,False,approved
TX-20260511-000014,9125.15,2026-02-12 14:50:32,ACC-1073,Refund,Tokyo,Tablet,8.5,False,approved
TX-20260511-000015,189.64,2026-04-10 05:50:32,ACC-1473,Deposit,Dubai,Tablet,12.5,False,approved
TX-20260511-000016,395.43,2026-02-11 17:50:32,ACC-1224,Purchase,Mumbai,Desktop,4.6,False,approved
TX-20260511-000017,795.61,2026-04-12 09:50:32,ACC-1824,Withdrawal,Shanghai,Mobile,15.1,False,approved
TX-20260511-000018,1079.89,2026-05-03 04:50:32,ACC-1935,Refund,Mumbai,Desktop,31.1,False,approved
TX-20260511-000019,7461.52,2026-02-16 19:50:32,ACC-1405,Purchase,Paris,Desktop,24.1,False,approved
TX-20260511-000020,846.55,2026-04-08 06:50:32,ACC-1252,Purchase,Sydney,Tablet,5.3,False,approved
TX-20260511-000021,1874.66,2026-04-07 11:50:32,ACC-1598,Deposit,Toronto,Mobile,11.7,False,approved
TX-20260511-000022,10427.41,2026-03-26 03:50:32,ACC-1141,Refund,Paris,Desktop,18.7,False,approved
TX-20260511-000023,4651.02,2026-05-05 07:50:32,ACC-1156,Purchase,Tokyo,Tablet,30.3,False,approved
TX-20260511-000024,2824.99,2026-03-17 15:50:32,ACC-1065,Deposit,Shanghai,Tablet,2.8,False,approved
TX-20260511-000025,31162.34,2026-03-12 18:50:32,ACC-1257,Refund,New York,Tablet,12.9,False,approved
TX-20260511-000026,354.91,2026-04-26 13:50:32,ACC-1906,Refund,Dubai,Tablet,18.9,False,approved
TX-20260511-000027,14238.96,2026-03-29 07:50:32,ACC-1300,Deposit,Tokyo,Mobile,8.7,False,approved
TX-20260511-000028,3654.19,2026-05-10 11:50:32,ACC-1896,Purchase,Dubai,Tablet,35.4,False,approved
TX-20260511-000029,7421.49,2026-04-18 18:50:32,ACC-1934,Payment,Dubai,Tablet,4.6,False,approved
TX-20260511-000030,322.58,2026-03-07 15:50:32,ACC-1203,Transfer,Mumbai,Desktop,8.2,False,approved
TX-20260511-000031,2114.83,2026-03-02 18:50:32,ACC-1940,Payment,Toronto,Mobile,26.2,False,approved
TX-20260511-000032,2023.78,2026-03-10 10:50:32,ACC-1114,Withdrawal,Dubai,Desktop,33.1,False,approved
TX-20260511-000033,5951.71,2026-05-04 03:50:32,ACC-1899,Refund,London,Desktop,4.9,False,approved
TX-20260511-000034,417.83,2026-03-10 08:50:32,ACC-1778,Refund,Tokyo,Desktop,5.2,False,approved
TX-20260511-000035,246593.16,2026-02-15 19:50:32,ACC-1969,Refund,Tokyo,Mobile,87.8,True,critical
TX-20260511-000036,724.45,2026-03-04 15:50:32,ACC-1433,Transfer,Sydney,Tablet,4.0,False,approved
TX-20260511-000037,24487.99,2026-02-12 04:50:32,ACC-1730,Withdrawal,Shanghai,Tablet,32.0,False,approved
TX-20260511-000038,2706.56,2026-02-16 23:50:32,ACC-1448,Refund,Paris,Desktop,10.6,False,approved
TX-20260511-000039,5000.8,2026-04-10 03:50:32,ACC-1065,Withdrawal,New York,Tablet,9.3,False,approved
TX-20260511-000040,16551.54,2026-03-02 03:50:32,ACC-1602,Transfer,New York,Desktop,38.7,False,approved
TX-20260511-000041,9208.66,2026-02-09 14:50:32,ACC-1060,Transfer,London,Desktop,13.2,False,approved
TX-20260511-000042,795.55,2026-03-30 08:50:32,ACC-1526,Transfer,Dubai,Tablet,7.9,False,approved
TX-20260511-000043,3345.4,2026-03-10 04:50:32,ACC-1552,Transfer,Toronto,Tablet,6.2,False,approved
TX-20260511-000044,8753.36,2026-03-12 03:50:32,ACC-1803,Deposit,Shanghai,Desktop,24.9,False,approved
TX-20260511-000045,715.36,2026-04-29 07:50:32,ACC-1674,Deposit,Mumbai,Mobile,6.1,False,approved
TX-20260511-000046,920.69,2026-03-19 20:50:32,ACC-1884,Purchase,New York,Tablet,3.8,False,approved
TX-20260511-000047,1838.87,2026-02-16 14:50:32,ACC-1100,Payment,Shanghai,Tablet,43.5,False,reviewing
TX-20260511-000048,3275.54,2026-03-29 07:50:32,ACC-1254,Transfer,Singapore,Tablet,25.5,False,approved
TX-20260511-000049,6325.82,2026-03-15 06:50:32,ACC-1432,Transfer,Dubai,Mobile,36.0,False,approved
TX-20260511-000050,4340.48,2026-04-10 08:50:32,ACC-1453,Refund,London,Desktop,4.2,False,approved
TX-20260511-000051,5012.41,2026-02-16 17:50:32,ACC-1856,Payment,London,Desktop,10.7,False,approved
TX-20260511-000052,6976.77,2026-04-19 21:50:32,ACC-1497,Deposit,Singapore,Mobile,5.2,False,approved
TX-20260511-000053,2329.13,2026-05-04 05:50:32,ACC-1388,Payment,Shanghai,Mobile,27.7,False,approved
TX-20260511-000054,2959.32,2026-03-14 01:50:32,ACC-1433,Purchase,Sydney,Tablet,12.3,False,approved
TX-20260511-000055,1677.42,2026-03-10 06:50:32,ACC-1194,Withdrawal,Singapore,Desktop,29.2,False,approved
TX-20260511-000056,2063.0,2026-02-25 11:50:32,ACC-1555,Payment,Mumbai,Desktop,15.4,False,approved
TX-20260511-000057,962.37,2026-05-04 16:50:32,ACC-1488,Refund,Sydney,Desktop,14.0,False,approved
TX-20260511-000058,163.27,2026-05-03 18:50:32,ACC-1082,Transfer,London,Tablet,7.5,False,approved
TX-20260511-000059,836.28,2026-05-02 13:50:32,ACC-1882,Transfer,Shanghai,Desktop,7.8,False,approved
TX-20260511-000060,27440.44,2026-02-28 03:50:32,ACC-1592,Refund,New York,Tablet,33.0,False,approved
TX-20260511-000061,5405.44,2026-04-30 21:50:32,ACC-1673,Refund,Toronto,Tablet,22.7,False,approved
TX-20260511-000062,6062.37,2026-04-01 02:50:32,ACC-1209,Purchase,Mumbai,Desktop,38.6,False,approved
TX-20260511-000063,2672.47,2026-04-07 22:50:32,ACC-1134,Purchase,Dubai,Mobile,13.8,False,approved
TX-20260511-000064,743.17,2026-04-01 08:50:32,ACC-1009,Deposit,Toronto,Tablet,13.0,False,approved
TX-20260511-000065,1380.98,2026-04-29 08:50:32,ACC-1550,Transfer,Sydney,Mobile,22.0,False,approved
TX-20260511-000066,3252.94,2026-04-24 23:50:32,ACC-1902,Payment,Singapore,Mobile,34.0,False,approved
