transaction_id,timestamp,account_id,account_type,account_age_days,account_balance,amount,transaction_type,location,merchant_category,channel,device_type,currency,is_international,ip_address,is_fraud,fraud_type,hour,day_of_week,day_of_month,month,quarter,is_weekend,is_business_hours,amount_log,amount_category,high_risk_merchant,medium_risk_merchant
TXN_00009352,2025-03-07 00:14:52.017445,ACC_000401,PERSONAL,1236,31751.66,750.49,PAYMENT,TX,utilities,online,DESKTOP,USD,False,192.168.199.136,0,,0,4,7,3,1,0,0,6.622057902384601,medium,0,0
TXN_00005507,2025-03-07 00:33:23.017445,ACC_000039,PERSONAL,957,27274.22,194.5,TRANSFER,TX,electronics,online,MOBILE,GBP,False,192.168.20.128,0,,0,4,7,3,1,0,0,5.27556037942542,small,0,1
TXN_00007505,2025-03-07 00:36:33.017445,ACC_000115,PERSONAL,3161,47674.83,45.19,DEPOSIT,CA,grocery,atm,MOBILE,USD,False,192.168.106.82,0,,0,4,7,3,1,0,0,3.832763324442514,micro,0,0
TXN_00004899,2025-03-07 00:57:58.017445,ACC_000267,PERSONAL,1012,13264.27,205.18,WITHDRAWAL,FL,grocery,branch,MOBILE,USD,False,192.168.7.126,0,,0,4,7,3,1,0,0,5.328749573668238,small,0,0
TXN_00004216,2025-03-07 01:18:16.017445,ACC_000091,PERSONAL,55,10465.69,34.76,PAYMENT,GA,entertainment,branch,DESKTOP,USD,False,192.168.179.113,0,,1,4,7,3,1,0,0,3.576829950305313,micro,0,1
TXN_00004448,2025-03-07 01:19:06.017445,ACC_000345,PERSONAL,384,27496.62,472.38,TRANSFER,TX,travel,branch,TABLET,USD,False,192.168.237.221,0,,1,4,7,3,1,0,0,6.159898448616665,small,0,1
TXN_00007869,2025-03-07 01:20:44.017445,ACC_000346,PERSONAL,923,15652.19,506.44,WITHDRAWAL,OH,utilities,mobile_app,DESKTOP,USD,False,192.168.239.139,0,,1,4,7,3,1,0,0,6.229378477325642,medium,0,0
TXN_00007384,2025-03-07 01:26:13.017445,ACC_000250,PERSONAL,363,12744.11,347.66,PAYMENT,MD,travel,mobile_app,MOBILE,USD,False,192.168.109.35,0,,1,4,7,3,1,0,0,5.854097235315069,small,0,1
TXN_00005334,2025-03-07 01:32:35.017445,ACC_000421,PERSONAL,788,66883.37,467.3,PAYMENT,WI,healthcare,mobile_app,ATM,USD,False,192.168.123.11,0,,1,4,7,3,1,0,0,6.149109116189496,small,0,0
TXN_00005973,2025-03-07 01:54:35.017445,ACC_000198,PERSONAL,1796,6592.96,14.09,TRANSFER,MO,healthcare,mobile_app,MOBILE,USD,False,192.168.84.5,0,,1,4,7,3,1,0,0,2.7140322727797574,micro,0,0
TXN_00000563,2025-03-07 02:02:18.017445,ACC_000235,PERSONAL,1186,36605.44,356.32,PAYMENT,GA,restaurant,atm,MOBILE,USD,False,192.168.52.12,0,,2,4,7,3,1,0,0,5.878631738833638,small,0,0
TXN_00005477,2025-03-07 02:05:22.017445,ACC_000403,PERSONAL,225,30838.07,47.15,PURCHASE,NC,healthcare,mobile_app,TABLET,USD,False,192.168.202.24,0,,2,4,7,3,1,0,0,3.8743211382441345,micro,0,0
TXN_00004928,2025-03-07 02:05:24.017445,ACC_000368,BUSINESS,1933,65086.23,576.18,DEPOSIT,PA,electronics,atm,MOBILE,USD,False,192.168.83.161,0,,2,4,7,3,1,0,0,6.3581541762647396,medium,0,1
TXN_00005556,2025-03-07 02:09:13.017445,ACC_000326,PERSONAL,3286,1297.43,49.33,WITHDRAWAL,FL,jewelry,phone,MOBILE,USD,False,192.168.100.91,0,,2,4,7,3,1,0,0,3.9186013207882686,micro,1,0
TXN_00004373,2025-03-07 02:10:15.017445,ACC_000466,PERSONAL,1658,22412.95,934.88,PURCHASE,NJ,grocery,online,DESKTOP,USD,False,192.168.119.185,0,,2,4,7,3,1,0,0,6.841487263130407,medium,0,0
TXN_00001267,2025-03-07 02:11:43.017445,ACC_000468,PERSONAL,3402,28400.35,2706.82,TRANSFER,TX,restaurant,online,MOBILE,USD,False,192.168.231.86,0,,2,4,7,3,1,0,0,7.903899162103606,large,0,0
TXN_00002420,2025-03-07 02:34:20.017445,ACC_000011,PERSONAL,398,88639.29,947.49,WITHDRAWAL,IN,healthcare,atm,TABLET,GBP,False,192.168.10.118,0,,2,4,7,3,1,0,0,6.854871246356919,medium,0,0
TXN_00002137,2025-03-07 02:42:12.017445,ACC_000197,PERSONAL,1405,17915.38,4.04,DEPOSIT,TX,entertainment,atm,TABLET,USD,False,192.168.77.179,0,,2,4,7,3,1,0,0,1.6174060820832772,micro,0,1
TXN_00007723,2025-03-07 02:48:14.017445,ACC_000329,PERSONAL,2855,89431.91,982.69,PAYMENT,NC,utilities,online,DESKTOP,USD,True,192.168.124.171,0,,2,4,7,3,1,0,0,6.891310806766116,medium,0,0
TXN_00001453,2025-03-07 03:05:04.017445,ACC_000020,PERSONAL,3370,8119.83,1281.14,TRANSFER,TN,healthcare,online,DESKTOP,USD,False,192.168.14.46,0,,3,4,7,3,1,0,0,7.156285835886427,large,0,0
TXN_00009987,2025-03-07 03:06:16.017445,ACC_000239,JOINT,1518,88231.25,6.38,DEPOSIT,MA,professional_services,mobile_app,MOBILE,EUR,False,192.168.103.207,1,UNUSUAL_HOUR,3,4,7,3,1,0,0,1.998773638612381,micro,0,0
TXN_00009649,2025-03-07 03:15:48.017445,ACC_000294,BUSINESS,1290,30994.89,2675.26,PAYMENT,IL,electronics,online,DESKTOP,USD,False,192.168.192.105,0,,3,4,7,3,1,0,0,7.892175576468607,large,0,1
TXN_00001892,2025-03-07 03:34:08.017445,ACC_000357,BUSINESS,1118,56971.9,2352.83,PURCHASE,MO,restaurant,atm,DESKTOP,USD,False,192.168.101.106,0,,3,4,7,3,1,0,0,7.763799067710289,large,0,0
TXN_00002827,2025-03-07 03:48:02.017445,ACC_000265,PERSONAL,3303,41588.26,82.27,DEPOSIT,NC,utilities,online,TABLET,USD,False,192.168.227.185,0,,3,4,7,3,1,0,0,4.422088340247728,micro,0,0
TXN_00008980,2025-03-07 03:54:24.017445,ACC_000258,BUSINESS,1715,49529.72,1829.03,TRANSFER,WI,grocery,mobile_app,POS,USD,False,192.168.98.157,0,,3,4,7,3,1,0,0,7.512087639143719,large,0,0
TXN_00000166,2025-03-07 04:00:57.017445,ACC_000353,PERSONAL,1339,59223.23,133.28,PAYMENT,MD,retail,branch,DESKTOP,EUR,False,192.168.193.221,0,,4,4,7,3,1,0,0,4.899927172111834,small,0,0
TXN_00003230,2025-03-07 04:04:35.017445,ACC_000217,PERSONAL,559,37944.83,6200.34,PAYMENT,MD,money_transfer,branch,DESKTOP,USD,False,192.168.66.67,0,,4,4,7,3,1,0,0,8.732520676712927,xlarge,1,0
