transaction_id,timestamp,account_id,amount,transaction_type,location,merchant_category,channel,device_type,is_fraud
TXN_0,2026-03-07 14:05:53.737171,ACC_0,496.32072440672687,WITHDRAWAL,FL,grocery,mobile,DESKTOP,0
TXN_1,2026-03-07 14:05:53.737177,ACC_1,2417.5283482735767,TRANSFER,TX,grocery,online,MOBILE,0
TXN_2,2026-03-07 14:05:53.737177,ACC_2,600.6153442955006,DEPOSIT,TX,retail,online,DESKTOP,0
TXN_3,2026-03-07 14:05:53.737178,ACC_3,284.7309358814942,WITHDRAWAL,FL,retail,online,TABLET,0
TXN_4,2026-03-07 14:05:53.737178,ACC_4,1348.6687395377305,TRANSFER,FL,grocery,mobile,TABLET,0
TXN_5,2026-03-07 14:05:53.737178,ACC_5,1780.5206202553552,DEPOSIT,TX,retail,mobile,DESKTOP,0
TXN_6,2026-03-07 14:05:53.737179,ACC_6,1929.1529623959325,DEPOSIT,CA,retail,branch,MOBILE,0
TXN_7,2026-03-07 14:05:53.737179,ACC_7,11.973989245881857,TRANSFER,TX,grocery,branch,DESKTOP,0
TXN_8,2026-03-07 14:05:53.737179,ACC_8,977.7925070130565,WITHDRAWAL,FL,grocery,branch,TABLET,0
TXN_9,2026-03-07 14:05:53.737180,ACC_9,1350.665412553063,DEPOSIT,FL,restaurant,online,DESKTOP,0
TXN_10,2026-03-07 14:05:53.737180,ACC_0,2687.944862914113,WITHDRAWAL,TX,retail,branch,MOBILE,0
TXN_11,2026-03-07 14:05:53.737180,ACC_1,769.1156725508433,DEPOSIT,CA,restaurant,branch,MOBILE,0
TXN_12,2026-03-07 14:05:53.737180,ACC_2,48.372755157410694,WITHDRAWAL,CA,retail,branch,DESKTOP,0
TXN_13,2026-03-07 14:05:53.737180,ACC_3,1784.267507258442,WITHDRAWAL,FL,retail,branch,TABLET,0
TXN_14,2026-03-07 14:05:53.737181,ACC_4,1791.4166890870658,WITHDRAWAL,NY,restaurant,branch,MOBILE,1
TXN_15,2026-03-07 14:05:53.737181,ACC_5,18.284276797392998,DEPOSIT,CA,restaurant,branch,MOBILE,0
TXN_16,2026-03-07 14:05:53.737181,ACC_6,801.2672048778998,WITHDRAWAL,CA,restaurant,online,TABLET,0
TXN_17,2026-03-07 14:05:53.737182,ACC_7,926.276973737504,TRANSFER,TX,retail,mobile,MOBILE,0
TXN_18,2026-03-07 14:05:53.737182,ACC_8,761.9174564197771,WITHDRAWAL,TX,grocery,online,MOBILE,0
TXN_19,2026-03-07 14:05:53.737182,ACC_9,2553.8238132624197,TRANSFER,TX,retail,online,DESKTOP,0
TXN_20,2026-03-07 14:05:53.737192,ACC_0,7553.595430170396,WITHDRAWAL,NY,grocery,mobile,DESKTOP,0
TXN_21,2026-03-07 14:05:53.737193,ACC_1,1146.951849959415,TRANSFER,FL,retail,branch,TABLET,0
TXN_22,2026-03-07 14:05:53.737193,ACC_2,1068.6153498716585,TRANSFER,TX,restaurant,online,MOBILE,1
TXN_23,2026-03-07 14:05:53.737193,ACC_3,60.64970487200019,WITHDRAWAL,FL,restaurant,online,MOBILE,0
